location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
AD,2020-01-01,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.236111,0.138889,8.208333,3.302,,-0.972222,72.773049
AD,2020-01-02,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.875,-0.722222,10.055556,6.688667,,-1.625,70.841314
AD,2020-01-03,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.763889,0.597222,8.402778,5.0165,,-0.611111,71.117248
AD,2020-01-04,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.555556,1.125,8.708333,3.81,,0.722222,77.33864
AD,2020-01-05,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.763889,-1.0,11.361111,2.4765,,-3.361111,60.76238
AD,2020-01-06,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.125,-0.375,10.583333,2.4765,,-2.111111,65.127573
AD,2020-01-07,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.472222,1.152778,11.222222,5.0165,,-0.888889,65.849295
AD,2020-01-08,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.458333,2.75,13.875,2.4765,,1.944444,68.676783
AD,2020-01-09,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.666667,2.583333,11.611111,2.6035,,2.388889,74.404557
AD,2020-01-10,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.333333,2.708333,8.555556,2.7305,,1.902778,78.658227
