location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
BE,2020-01-01,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.594444,-0.827778,4.572222,0.0,,0.572222,93.006469
BE,2020-01-02,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.561111,-0.15,7.888889,0.0,,2.538889,93.069822
BE,2020-01-03,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.905556,3.955556,9.655556,1.947333,,6.427778,90.410586
BE,2020-01-04,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.783333,2.266667,7.05,0.73025,,3.105556,88.929692
BE,2020-01-05,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.933333,5.1,6.916667,0.03175,,3.372222,83.642525
BE,2020-01-06,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.133333,1.961111,8.15,0.0,,1.2,75.765025
BE,2020-01-07,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.527778,3.833333,8.122222,0.85725,,4.977778,89.854104
BE,2020-01-08,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.272222,6.561111,11.605556,1.044222,,9.555556,95.342732
BE,2020-01-09,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.272222,9.888889,12.216667,2.596444,,9.777778,90.579715
BE,2020-01-10,ChIJl5fz7WR9wUcR8g_mObTy60c,Q31,country/BEL,BE,Belgium,BE,BEL,0,0,0,,0,0,,,,,,,,,,,,,11455519,5644826,5810693,224973,11259082,2065284,3102595,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,542587364000,47436,0.757,52411,50.641111,4.668056,30530,18091,12349,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,19.4614,3.0709,4507.356445,795.017578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.966667,4.233333,9.994444,4.741333,,5.372222,89.614395
