location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_tested_age_0,new_tested_age_1,new_tested_age_2,new_tested_age_3,new_tested_age_4,new_tested_age_5,new_tested_age_6,new_tested_age_7,new_tested_age_8,new_tested_age_9,cumulative_tested_age_0,cumulative_tested_age_1,cumulative_tested_age_2,cumulative_tested_age_3,cumulative_tested_age_4,cumulative_tested_age_5,cumulative_tested_age_6,cumulative_tested_age_7,cumulative_tested_age_8,cumulative_tested_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
FR,2020-01-01,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.688889,0.205556,7.411111,0.028222,,4.444444,98.331077
FR,2020-01-02,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.544444,4.927778,9.372222,2.427111,,6.6,93.763309
FR,2020-01-03,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.544444,4.35,11.077778,0.366889,,7.161111,91.028783
FR,2020-01-04,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.283333,1.155556,9.611111,0.9652,,3.45,88.011513
FR,2020-01-05,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.544444,0.033333,8.683333,0.0,,2.211111,84.910718
FR,2020-01-06,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.555556,-1.744444,10.177778,0.0,,0.944444,83.102716
FR,2020-01-07,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.638889,3.772222,9.9,0.564444,,7.383333,98.277446
FR,2020-01-08,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.638889,9.005556,11.983333,1.100667,,10.122222,96.624531
FR,2020-01-09,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.55,6.883333,13.322222,0.733778,,8.266667,86.080422
FR,2020-01-10,ChIJMVd4MymgVA0R99lHx5Y__Ws,Q142,country/FRA,FR,France,FR,FRA,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67012883,32386507,34626376,12936523,54123364,10958187,15324817,105.6,0.901,7864258,8319867,7526449,8298645,8663535,8788270,7999231,5445963,4106665,2776646200000,41300,0.765,2202162,47.0,2.0,549086,457993,86463,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,11.4707,3.2672,4379.727051,411.003204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.694444,4.727778,10.888889,4.148667,,5.061111,83.470177
