location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
HR,2020-01-01,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.283333,-3.077778,7.3,0.0,71.12,-4.024691,69.000106
HR,2020-01-02,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.094444,-3.95,8.711111,0.0,40.64,-5.666667,65.606045
HR,2020-01-03,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.777778,-3.527778,9.338889,0.0,10.16,-4.512346,64.487793
HR,2020-01-04,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.311111,-2.116667,9.65,0.0,10.16,-2.135802,67.938036
HR,2020-01-05,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.622222,-2.861111,6.666667,0.0254,,-6.302469,56.286578
HR,2020-01-06,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.3,-5.866667,4.677778,0.0,,-8.314815,59.626665
HR,2020-01-07,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.622222,-6.183333,5.938889,0.0,,-7.703704,60.842104
HR,2020-01-08,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.655556,-4.6,7.383333,0.0,,-4.277778,68.861506
HR,2020-01-09,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5,-4.044444,8.916667,0.0,,-3.5,69.753564
HR,2020-01-10,ChIJ7ZXdCghBNBMRfxtm4STA86A,Q224,country/HRV,HR,Croatia,HR,HRV,0,0,0,,0,0,,,,,,,,4076246,1972572,2103674,1739182,2328318,685233,73.2,0.831,387321,404914,479988,544058,542154,581554,560437,358187,217633,60917594400,14868,0.723,214885,45.25,15.466667,56590,51019,5302,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.977778,-2.25,11.494444,0.0,,-0.333333,72.768587
