location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
LV,2020-01-01,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.756944,-0.465278,3.756944,0.0,,-0.527778,84.858739
LV,2020-01-02,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.854167,1.8125,4.951389,0.0,,1.9375,87.3161
LV,2020-01-03,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.194444,0.993056,3.222222,0.0,,1.090278,92.439462
LV,2020-01-04,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.284722,1.111111,3.340278,0.0,,0.173611,86.03086
LV,2020-01-05,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.479167,-2.756944,1.083333,0.0,,-3.972222,77.617575
LV,2020-01-06,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.715278,-1.145833,1.652778,0.0,,0.097222,95.646252
LV,2020-01-07,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.083333,1.763889,2.423611,0.0,,1.6875,97.236529
LV,2020-01-08,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.652778,1.486111,5.152778,0.0,,1.625,92.991359
LV,2020-01-09,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.222222,1.833333,5.118056,0.0,,1.395833,87.819903
LV,2020-01-10,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,LV,LVA,0,0,0,,0,0,,,,,,,,1919968,884909,1035059,607846,1304943,633820,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,107513,34398215400,17818,0.724,72594,57.0,25.0,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.567901,1.524691,3.666667,0.0,,2.259259,97.830615
