location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
MD,2020-01-01,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.4375,-0.979167,4.194444,0.254,30.48,-2.027778,72.544046
MD,2020-01-02,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.319444,-3.881944,3.652778,0.0,20.32,-4.166667,75.39747
MD,2020-01-03,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.805556,-2.736111,6.548611,0.0,15.24,-5.576389,58.43743
MD,2020-01-04,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.083333,-5.215278,7.145833,0.0,10.16,-3.583333,71.322557
MD,2020-01-05,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.361111,0.236111,3.104167,1.820333,50.8,-0.326389,88.645808
MD,2020-01-06,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.034722,-4.229167,2.180556,0.0,40.64,-3.347222,78.396539
MD,2020-01-07,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.111111,-6.229167,0.847222,0.0,40.64,-6.618056,76.814482
MD,2020-01-08,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.513889,-7.520833,2.152778,0.0,40.64,-6.486111,79.963268
MD,2020-01-09,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.680556,-7.715278,0.9375,0.0,40.64,-4.868056,85.0583
MD,2020-01-10,ChIJoWm3KDZ8yUARy6xT36wZgSU,Q217,country/MDA,MD,Moldova,MD,MDA,0,0,0,,0,0,,,,,,,4033963,1931953,2102010,1522135,1135502,504342,122.799,0.693,424058,419286,570833,773876,562808,521015,488289,184989,88809,11955435456,4498,0.58,58974,47.25,28.516667,33850,31217,2607,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,4.9235,3.2066,191.185776,83.424835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5625,-1.270833,5.854167,0.0,30.48,-1.590278,79.839618
