location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
ME,2020-01-01,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,7.080247,1.345679,10.271605,0.0,99.06,-6.734568,40.121602
ME,2020-01-02,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,5.185185,-0.277778,10.462963,0.0,88.9,-6.401235,45.016235
ME,2020-01-03,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,3.493827,-2.679012,12.030864,0.0,88.9,-4.45679,57.978746
ME,2020-01-04,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,2.876543,-3.203704,9.401235,0.0,78.74,-2.919753,66.761002
ME,2020-01-05,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,5.598765,0.783951,8.746914,0.310444,180.34,-5.962963,46.228893
ME,2020-01-06,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,2.876543,0.308642,5.574074,0.451556,170.18,-10.734568,38.894533
ME,2020-01-07,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,2.95679,-2.388889,8.58642,0.0,160.02,-9.802469,41.133898
ME,2020-01-08,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,3.549383,-2.438272,10.179012,0.0,149.86,-9.333333,41.371634
ME,2020-01-09,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,2.691358,-3.203704,10.716049,0.0,149.86,-4.771605,59.287645
ME,2020-01-10,ChIJyx8sJBcyTBMRRtP_boadTDg,Q236,country/MNE,ME,Montenegro,ME,MNE,0,0,0,0,0,,,,,,,622182,307712,314470,204372,417765,45.7,0.802,74464,77613,79498,90519,82794,82291,75972,38778,20253,5494736901,8832,0.615,53296,42.766667,19.216667,13810,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,5.2294,2.7557,2.91358,-3.135802,10.820988,0.0,85.09,-2.845679,66.387181
