location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
NL,2020-01-01,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.944444,-1.048611,2.743056,0.0,,0.722222,98.418977
NL,2020-01-02,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.180556,-0.069444,6.902778,0.0,,2.784722,97.251053
NL,2020-01-03,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.340278,3.4375,9.743056,1.7145,,6.069444,91.668056
NL,2020-01-04,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.229167,2.902778,7.930556,3.338286,,4.916667,91.353959
NL,2020-01-05,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.465278,4.4375,7.375,1.016,,5.215278,91.757944
NL,2020-01-06,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.743056,3.729167,6.722222,0.0,,3.4375,85.148725
NL,2020-01-07,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.541667,3.013889,7.965278,0.635,,5.479167,92.937252
NL,2020-01-08,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.027778,7.097222,11.694444,0.3175,,9.416667,96.000257
NL,2020-01-09,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.25,8.666667,12.4375,2.50825,,10.583333,95.679321
NL,2020-01-10,ChIJu-SH28MJxkcRnwq9_851obM,Q55,country/NLD,NL,Netherlands,NL,NLD,0,0,0,,0,0,,,,,,,,17282163,8581086,8701077,1408121,15924729,1140339,2149006,504.0,0.931,1783504,2008334,2201788,2108199,2261107,2508388,2089913,1522110,798820,913366020000,52982,0.8,47796,52.316667,5.55,41540,21411,12802,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,11.1839,3.6054,4911.44043,544.528137,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.472222,1.458333,10.493056,3.96875,,4.9375,89.970606
