location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
PL,2020-01-01,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.287037,-0.490741,5.101852,0.296333,,-0.472222,88.086372
PL,2020-01-02,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.138889,-2.564815,3.759259,0.0,,-3.601852,75.975115
PL,2020-01-03,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.833333,-2.972222,5.231481,0.0,,-1.472222,78.783282
PL,2020-01-04,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.407407,0.111111,5.601852,3.7084,,1.657407,88.319609
PL,2020-01-05,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.12963,-3.509259,2.509259,2.413,10.16,-2.601852,83.493977
PL,2020-01-06,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009259,-3.675926,1.583333,0.2032,20.32,-0.916667,93.49149
PL,2020-01-07,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.537037,-1.268519,1.796296,0.0,,-1.407407,86.825628
PL,2020-01-08,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.453704,-0.259259,5.546296,0.3556,10.16,2.018519,90.32847
PL,2020-01-09,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.935185,3.833333,7.0,3.3528,,5.712963,98.483087
PL,2020-01-10,ChIJuwtkpGSZAEcR6lXMScpzdQk,Q36,country/POL,PL,Poland,PL,POL,0,0,0,,0,0,,,,,,,,37972812,18380376,19592436,15174300,22796574,1775933,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,585705873800,15222,0.747,49715,52.0,19.0,312680,277840,30501,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,6.8926,2.3788,906.820129,209.020157,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.064815,5.0,8.592593,3.2512,,5.824074,91.81849
