location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
PT,2020-01-01,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.694444,5.601852,13.259259,0.042333,,7.62037,93.190261
PT,2020-01-02,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.324074,5.685185,12.287037,0.0,,8.222222,93.078228
PT,2020-01-03,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.652778,9.645833,16.243056,0.0,,9.631944,82.013057
PT,2020-01-04,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.268519,7.814815,15.157407,0.0,,8.407407,82.699521
PT,2020-01-05,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.055556,5.527778,13.12037,0.0,,5.925926,81.16311
PT,2020-01-06,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.583333,4.923611,14.152778,0.0,,6.604167,82.00683
PT,2020-01-07,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.173611,3.840278,14.666667,0.0,,6.0,80.670311
PT,2020-01-08,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.131944,4.763889,15.166667,0.0,,7.9375,86.332499
PT,2020-01-09,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.604167,11.1875,15.680556,0.072571,,12.111111,90.811032
PT,2020-01-10,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,Q45,country/PRT,PT,Portugal,PT,PRT,0,0,0,,,0,0,,,,,,,,,,,10276617,4852366,5424251,3515838,6753579,2942097,4251902,113.0,0.83,897215,1063095,1086035,1261879,1576493,1478921,1286927,964596,661456,240597516000,23364,0.776,295480,38.7,-9.183333,92225,78286,12764,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,6.9746,5.124,1908.033936,525.321472,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.951389,7.506944,14.083333,0.145143,,5.708333,70.512773
