location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
RS,2020-01-01,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.194444,-4.583333,1.85,0.0,134.3025,-2.811111,88.876499
RS,2020-01-02,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,-4.516667,3.877778,0.0,220.345,-3.005556,86.410904
RS,2020-01-03,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.222222,-7.361111,5.95,0.0,202.565,-5.505556,79.177795
RS,2020-01-04,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.905556,-6.3,2.438889,0.0,189.865,-4.272222,84.630278
RS,2020-01-05,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.338889,-2.4,1.877778,3.612444,326.813333,-1.866667,89.61099
RS,2020-01-06,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.483333,-6.283333,-0.7,2.286,323.426667,-5.833333,84.052447
RS,2020-01-07,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.794444,-9.355556,1.444444,0.0,309.88,-7.516667,81.5023
RS,2020-01-08,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.677778,-8.95,-0.133333,0.0,303.106667,-7.172222,83.698348
RS,2020-01-09,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.294444,-7.338889,4.322222,0.0,287.02,-5.188889,81.075404
RS,2020-01-10,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,Q403,country/SRB,RS,Serbia,RS,SRB,0,0,0,,0,0,,,,,,,,6963764,3392811,3570953,3037732,3907243,1393717,1393717,91.0,0.771,654145,694332,804338,958562,971473,944645,1021979,595246,319044,51409167350,7402,0.755,1741311,43.95,20.933333,88360,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,6.0855,3.1131,528.545166,220.680069,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.288889,-4.0,10.822222,0.0,263.313333,-3.727778,70.368093
