location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
SI,2020-01-01,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.183333,-5.011111,5.65,0.0,,-3.708333,84.565998
SI,2020-01-02,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.888889,-5.527778,6.694444,0.0,,-4.854167,79.281936
SI,2020-01-03,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.088889,-5.0,6.894444,0.0,,-4.423611,78.526905
SI,2020-01-04,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.783333,-3.45,7.983333,0.0,,-2.493056,77.021148
SI,2020-01-05,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.016667,-4.283333,6.916667,0.0,,-5.847222,60.20899
SI,2020-01-06,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.85,-7.194444,3.883333,0.0,,-6.965278,73.232387
SI,2020-01-07,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.688889,-7.577778,3.844444,0.0,,-7.020833,74.50956
SI,2020-01-08,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.972222,-6.877778,6.011111,0.0,,-5.326389,78.810605
SI,2020-01-09,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.616667,-4.883333,8.394444,0.0,,-4.0,74.956493
SI,2020-01-10,ChIJYYOWXuckZUcRZdTiJR5FQOc,Q215,country/SVN,SI,Slovenia,SI,SVN,0,0,0,,,0,0,,,,,,,,,,,2080908,1038656,1042252,943292,1144654,102.9,0.88,213023,193538,216620,291897,303686,303649,276481,170981,111033,53990687600,26078,0.788,218657,46.0,15.0,20675,17680,2509,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,9.9745,3.0861,1920.28186,236.735565,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.183333,-3.388889,10.661111,0.0,,-2.173611,73.686243
