location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
TR,2020-01-01,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,,,,,,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.488889,0.733333,4.877778,1.382889,10.16,0.772222,88.554468
TR,2020-01-02,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.533333,-0.016667,3.588889,1.143,20.32,-1.155556,82.69808
TR,2020-01-03,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.288889,-1.266667,3.755556,0.0,10.16,-1.472222,82.523653
TR,2020-01-04,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.505556,-1.183333,2.222222,1.850571,46.566667,-1.188889,88.794085
TR,2020-01-05,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.361111,-4.288889,3.433333,0.3048,35.56,-3.855556,77.749105
TR,2020-01-06,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.783333,-3.238889,6.511111,0.0,20.32,-2.433333,69.114261
TR,2020-01-07,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.944444,3.394444,8.138889,0.28575,30.48,-0.183333,65.635485
TR,2020-01-08,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.477778,0.388889,6.783333,1.778,,1.166667,85.217159
TR,2020-01-09,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.588889,-0.961111,2.866667,1.2446,40.64,-3.127778,76.760179
TR,2020-01-10,ChIJcSZPllwVsBQRKl9iKtTb2UA,Q43,country/TUR,TR,Turkey,TR,TUR,0,0,0,,0,0,,,,,,,,82003882,41139980,40863902,20331797,63097818,14967667,30836753,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,754411708202,9042,0.626,174737,39.0,36.0,785350,723511,44090,78.9,27.2,11.1,9.1,119.237,62.33,46.6,16.1,2.7107,1.8492,444.653687,77.299492,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.316667,-4.3,2.694444,0.0,15.24,-5.122222,70.523236
